signal_date,ticker,score,ref_price,rank,tp,sl
2026-06-30,2327,3.95,1140.0,2,1482.0,883.5
2026-06-30,6446,3.85,1340.0,3,1589.2,1153.1
2026-06-30,2887,3.7,33.2,4,38.4,29.4
2026-06-30,2379,3.67,806.0,5,1040.4,630.2
2026-06-30,3481,3.63,68.7,6,89.1,53.4
2026-06-30,2883,3.53,28.7,7,34.1,24.6
2026-07-01,1303,3.98,183.0,1,226.0,150.8
2026-07-01,2327,3.9,1140.0,2,1482.2,883.4
2026-07-01,6446,3.9,1360.0,3,1609.2,1173.1
2026-07-01,2379,3.63,829.0,4,1068.2,649.6
2026-07-01,3481,3.62,67.4,5,87.9,52.1
2026-07-01,2887,3.62,33.3,6,38.4,29.6
2026-07-01,2890,3.6,40.0,7,45.5,35.9
2026-07-02,1303,4.0,197.0,1,242.8,162.7
2026-07-02,6446,3.92,1395.0,2,1655.6,1199.5
2026-07-02,2327,3.88,1055.0,3,1410.0,788.7
2026-07-02,2303,3.78,165.5,4,210.0,132.1
2026-07-02,2379,3.67,811.0,5,1048.2,633.1
2026-07-02,3711,3.55,727.0,6,885.8,607.9
2026-07-02,2404,3.53,1385.0,7,1744.0,1115.8
2026-07-03,1303,4.0,197.0,1,242.8,162.7
2026-07-03,6446,3.92,1395.0,2,1655.6,1199.5
2026-07-03,2327,3.88,1055.0,3,1410.0,788.7
2026-07-03,2303,3.78,165.5,4,210.0,132.1
2026-07-03,2379,3.67,811.0,5,1048.2,633.1
2026-07-03,3711,3.55,720.4,6,877.8,602.4
2026-07-03,2404,3.53,1385.0,7,1744.0,1115.8
2026-07-04,1303,4.0,197.0,1,244.7,161.2
2026-07-04,6446,3.92,1395.0,2,1653.6,1201.0
2026-07-04,2327,3.88,1045.0,3,1399.9,778.8
2026-07-04,2303,3.78,170.5,4,215.6,136.7
2026-07-04,2383,3.63,6080.0,5,7530.0,4992.5
2026-07-04,1326,3.6,68.0,6,83.1,56.6
2026-07-04,2379,3.57,783.0,7,1021.8,603.9
2026-07-06,1303,4.0,185.0,1,234.4,147.9
2026-07-06,6446,3.93,1445.0,2,1712.6,1244.3
2026-07-06,3481,3.87,69.2,3,89.0,54.3
2026-07-06,2327,3.8,1005.0,4,1352.5,744.4
2026-07-06,1326,3.7,67.6,5,83.2,55.9
2026-07-06,2303,3.68,166.0,6,211.0,132.2
2026-07-06,2890,3.52,41.0,7,46.4,36.9
2026-07-07,1303,3.98,166.5,1,218.4,127.5
2026-07-07,6446,3.95,1495.0,2,1771.8,1287.4
2026-07-07,3481,3.87,64.2,3,84.7,48.9
2026-07-07,1326,3.72,63.3,4,78.8,51.7
2026-07-07,2379,3.65,776.0,5,1013.0,598.2
2026-07-07,2303,3.63,155.0,6,200.6,120.8
2026-07-07,2890,3.58,41.1,7,46.4,37.1
2026-07-08,1303,3.98,182.0,1,236.4,141.2
2026-07-08,6446,3.95,1530.0,2,1809.2,1320.6
2026-07-08,3481,3.87,65.2,3,85.7,49.8
2026-07-08,2303,3.75,163.0,4,208.1,129.2
2026-07-08,1326,3.72,64.7,5,80.6,52.8
2026-07-08,2379,3.6,817.0,6,1054.0,639.2
2026-07-08,2887,3.52,35.8,7,40.4,32.5
2026-07-09,1303,4.0,181.5,1,238.4,138.8
2026-07-09,3481,3.92,65.3,2,85.3,50.3
2026-07-09,6446,3.88,1285.0,3,1560.2,1078.6
2026-07-09,2303,3.75,156.0,4,200.3,122.8
2026-07-09,2408,3.63,435.5,5,573.3,332.1
2026-07-09,2379,3.62,840.0,6,1079.6,660.3
2026-07-09,2887,3.6,36.8,7,41.4,33.4
