event_id,signal_date,source_sector,destination_sector,ticker,reference_peak,drawdown_date,lead_trading_days,hit_20pct,last_session_before_drawdown,source_sector_label,destination_sector_label
29,2018-04-27,computing,finance,6182,38.02182388305664,2018-09-10,94.0,True,2018-09-07,資訊/通訊,金融
29,2018-04-27,computing,finance,4943,391.6380920410156,2018-10-05,112.0,True,2018-10-04,資訊/通訊,金融
29,2018-04-27,computing,finance,6150,294.60736083984375,2018-04-30,1.0,True,2018-04-27,資訊/通訊,金融
29,2018-04-27,computing,finance,6153,40.643310546875,2018-10-05,112.0,True,2018-10-04,資訊/通訊,金融
29,2018-04-27,computing,finance,3711,63.26545333862305,2018-06-19,35.0,True,2018-06-15,資訊/通訊,金融
29,2018-04-27,computing,finance,6147,40.70207214355469,,,False,,資訊/通訊,金融
29,2018-04-27,computing,finance,4966,474.3178405761719,2018-04-30,1.0,True,2018-04-27,資訊/通訊,金融
29,2018-04-27,computing,finance,4938,43.65744400024414,2018-10-11,115.0,True,2018-10-09,資訊/通訊,金融
29,2018-04-27,computing,finance,3708,125.33618927001953,2018-05-02,2.0,True,2018-04-30,資訊/通訊,金融
29,2018-04-27,computing,finance,6462,110.66152954101562,2018-09-11,95.0,True,2018-09-10,資訊/通訊,金融
29,2018-04-27,computing,finance,6505,92.79437255859375,,,False,,資訊/通訊,金融
29,2018-04-27,computing,finance,6449,48.25562286376953,2018-08-13,74.0,True,2018-08-10,資訊/通訊,金融
29,2018-04-27,computing,finance,6180,47.37633514404297,2018-05-03,3.0,True,2018-05-02,資訊/通訊,金融
29,2018-04-27,computing,finance,6510,720.6288452148438,2018-08-15,76.0,True,2018-08-14,資訊/通訊,金融
29,2018-04-27,computing,finance,6414,347.1817626953125,2018-07-03,45.0,True,2018-07-02,資訊/通訊,金融
29,2018-04-27,computing,finance,6451,143.54100036621094,2018-08-09,72.0,True,2018-08-08,資訊/通訊,金融
29,2018-04-27,computing,finance,6176,39.926666259765625,,,False,,資訊/通訊,金融
29,2018-04-27,computing,finance,4919,52.363285064697266,2018-04-30,1.0,True,2018-04-27,資訊/通訊,金融
29,2018-04-27,computing,finance,6533,177.35728454589844,2018-04-30,1.0,True,2018-04-27,資訊/通訊,金融
29,2018-04-27,computing,finance,6116,8.225732803344727,2018-09-10,94.0,True,2018-09-07,資訊/通訊,金融
